id,name,description,condition,notes,purchase_price,current_value,purchase_date,sold_date,sold_price,retired,image_url,user_id,category_id
1,‘Uncanny X-Men (1963 1st Series) #11 FR 1.0’,‘Silver Age’,‘fair’,‘’,0.12,NULL,‘1963-05-11T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/cqgAAOSw42JZEltT/s-l1600.jpg',1,1
2,‘Amazing Spider-Man #328 Graded CBCS 9.8 Classic Mcfarlane Hulk Cover’,‘Copper Age’,‘excellent’,‘’,1.00,NULL,‘1990-01-01T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/EBUAAOSwuxFY2yFO/s-l1600.jpg’,1,1
3,‘Detective Comics # 577 Year Two Todd McFarlane Batman CGC 9.8 WHITE Pages’,‘Copper Age’,‘excellent’,‘’,0.75,NULL,‘1987-08-01T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/JuYAAOSwiDFYOgb3/s-l1600.jpg’,1,1
4,‘Batman #426 12/88 DC Comics 1940 CGC 9.8 NM/M A Death In The Family Part 1 Joker’,‘Copper Age’,‘excellent’,‘’,1.25,NULL,‘1992-02-01T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/vN0AAOSwuMZZD9Za/s-l1600.jpg’,1,1
5,‘Batman #429 1/89 DC Comics 1940 CGC 9.6 NM+ A Death In The Family Part 4 Joker’,‘Copper Age’,‘excellent’,‘’,1.25,NULL,‘1990-05-01T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/4coAAOSwrhBZD9ct/s-l1600.jpg’,1,1
6,‘Marvel Comics 2016 Deadpool #13 Hit Monkey 1:25 Variant NEW’,‘Modern Age’,‘mint/unopened’,‘’,3.99,NULL,‘2016-08-01T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/ykcAAOSw2xRYUcqM/s-l500.jpg’,1,1
7,‘Black Panther #13 1:25 Kris Anka Variant Marvel 2016’,‘Modern Age’,‘mint/unopened’,‘’,3.99,NULL,‘2016-03-01T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/CZcAAOSw~y9ZCRIa/s-l1600.jpg’,1,1
8,"‘Spider-Man and Batman # [nn] (Sep 1995, Marvel) NM Never read DC’",‘Modern Age’,‘mint/unopened’,‘’,4.99,NULL,‘1995-09-01T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/bYUAAOSwax5Yue7C/s-l1600.jpg’,1,1
9,‘BATMAN DARK KNIGHT III MASTER RACE #8 1/50 VARIANT SIENKIEWICZ RETAIL INCENTIVE’,‘Modern Age’,‘mint/unopened’,‘’,4.99,NULL,‘2016-08-11T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/kboAAOSwlndZEOQi/s-l1600.jpg’,1,1
10,‘FCBD SECRET EMPIRE SPIDER-MAN 1 FREE COMIC BOOK DAY VARIANT 2017’,‘Modern Age’,‘mint/unopened’,‘’,0,NULL,‘2017-02-19T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/6yoAAOSwIWVY-XsQ/s-l1600.jpg’,1,1
11,‘Star Wars Rogue One Tate's Comics Krennic Action Figure Variant John Christopher’,‘Star Wars Rogue One’,‘mint/unopened’,‘’,9.99,NULL,‘2016-011-13T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/wBkAAOSwuMZZBzzP/s-l1600.jpg’,1,2
12,‘Funko Pop! Star Wars Rebels Chopper #133 2017 Star Wars Celebration Exclusive’,‘Star Wars’,‘mint/unopened’,‘’,9.99,NULL,‘2016-011-13T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/dT4AAOSwtZJZANQl/s-l500.jpg’,1,2
13,‘LEONARDO Basic Action Figure Teenage Mutant Ninja Turtles Playmates TMNT 90501’,‘TMNT’,‘good’,‘’,7.49,NULL,‘2011-06-27T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/RYYAAOSwB-1YsNCH/s-l500.jpg’,1,2
14,"‘Teenage Mutant Ninja Turtles Out Of The Shadows DONATELLO 11"" Playmates NEW!’",‘TMNT’,‘mint/unopened’,‘’,12.99,NULL,‘2017-01-24T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/q6oAAOSwX61ZA~Nu/s-l1600.jpg’,1,2
15,‘1986 Fleer Update #14 Barry Bonds Pittsburgh Pirates RC Rookie BGS 9 MINT’,‘Baseball Card’,‘fair’,‘’,0.50,NULL,‘1986-11-04T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/iW0AAOSw0hlZFIbD/s-l1600.jpg’,1,3
16,‘PSA 9 MINT KEN GRIFFEY JR 1990 TOYS R US ROOKIES #13’,‘Baseball Card’,‘fair’,‘’,0.65,NULL,‘1986-11-04T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/weQAAOSwmLlYBTsN/s-l1600.jpg’,1,3
17,‘United States Postage Stamp Scott CVP100 Unprinted Sheet Of 10’,‘United States Postage Stamp’,‘excellent’,‘’,3.99,NULL,‘2015-11-19T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/jOMAAOSwjL5ZDxB2/s-l1600.jpg’,1,5
18,‘Morocco Scott #C7-C8 MNH King Hassan II CV$3+’,‘Morocco Postage Stamp’,‘good’,‘’,0.23,NULL,‘2016-02-25T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/kRoAAOSw3gJZEmpV/s-l1600.jpg’,1,5
19,‘South Africa Blue Train Booklet with 10 stamps. MNH Mint Never Hinged’,‘South Africa Blue Train’,‘good’,‘’,0.75,NULL,‘2016-02-25T06:00:00.000Z’,NULL,NULL,0,‘http://i.ebayimg.com/images/g/qXIAAOSwOgdYvIs5/s-l1600.jpg’,1,5
